state,year,num_laws
Alabama,2013,10
Alabama,2014,10
Alabama,2015,10
Alabama,2016,10
Alabama,2017,10
Alabama,2018,10
Alaska,2013,3
Alaska,2014,3
Alaska,2015,3
Alaska,2016,3
Alaska,2017,3
Alaska,2018,3
Arizona,2013,8
Arizona,2014,8
Arizona,2015,8
Arizona,2016,8
Arizona,2017,8
Arizona,2018,8
Arkansas,2013,11
Arkansas,2014,11
Arkansas,2015,11
Arkansas,2016,11
Arkansas,2017,11
Arkansas,2018,11
California,2013,99
California,2014,100
California,2015,102
California,2016,104
California,2017,106
California,2018,109
Colorado,2013,30
Colorado,2014,30
Colorado,2015,30
Colorado,2016,30
Colorado,2017,30
Colorado,2018,30
Connecticut,2013,84
Connecticut,2014,85
Connecticut,2015,85
Connecticut,2016,90
Connecticut,2017,90
Connecticut,2018,90
Delaware,2013,37
Delaware,2014,38
Delaware,2015,38
Delaware,2016,39
Delaware,2017,40
Delaware,2018,40
Florida,2013,21
Florida,2014,21
Florida,2015,21
Florida,2016,21
Florida,2017,21
Florida,2018,21
Georgia,2013,11
Georgia,2014,6
Georgia,2015,6
Georgia,2016,6
Georgia,2017,6
Georgia,2018,6
Hawaii,2013,78
Hawaii,2014,78
Hawaii,2015,78
Hawaii,2016,79
Hawaii,2017,79
Hawaii,2018,79
Idaho,2013,5
Idaho,2014,5
Idaho,2015,6
Idaho,2016,2
Idaho,2017,2
Idaho,2018,2
Illinois,2013,65
Illinois,2014,65
Illinois,2015,65
Illinois,2016,65
Illinois,2017,65
Illinois,2018,65
Indiana,2013,10
Indiana,2014,11
Indiana,2015,11
Indiana,2016,12
Indiana,2017,12
Indiana,2018,12
Iowa,2013,25
Iowa,2014,25
Iowa,2015,25
Iowa,2016,25
Iowa,2017,24
Iowa,2018,24
Kansas,2013,8
Kansas,2014,8
Kansas,2015,4
Kansas,2016,4
Kansas,2017,4
Kansas,2018,4
Kentucky,2013,7
Kentucky,2014,7
Kentucky,2015,7
Kentucky,2016,7
Kentucky,2017,7
