state,registered_guns
Alabama,161641
Alaska,15824
Arkansas,79841
Arizona,179738
California,344622
Colorado,92435
Connecticut,82400
District of Columbia,47228
Delaware,4852
Florida,343288
Georgia,190050
Hawaii,7859
Iowa,28494
Idaho,49566
Illinois,146487
Indiana,114019
Kansas,52634
Kentucky,81068
Louisiana,116831
Massachusetts,37152
Maryland,103109
Maine,15371
Michigan,65742
Minnesota,79307
Missouri,72996
Mississippi,35494
Montana,22133
North Carolina,152238
North Dakota,13272
Nebraska,22234
New Hampshire,64135
New Jersey,57507
New Mexico,97580
Nevada,76888
New York,76207
Ohio,173405
Oklahoma,71269
Oregon,61383
Pennsylvania,236377
Rhode Island,4223
South Carolina,105601
South Dakota,21130
Tennessee,99159
Texas,588696
Utah,72856
Virginia,307822
Vermont,5872
Washington,91835
Wisconsin,64878
West Virginia,35264
Wyoming,132806
